epoch,avg_reward_train,min_reward_train,max_reward_train,avg_reward_val_uni_samp,avg_reward_real,tloss_train
100,217.366875,168.72,253.21,241.640625,280.0,-21.88099370006239
200,230.31,182.93,257.26,238.953125,270.0,-20.18369327866938
300,229.3475,192.06,249.59,242.578125,280.0,-14.892802016466803
400,232.0875,196.85,251.81,247.375,300.0,-14.153726497945318
500,230.10625,195.66,250.52,247.625,280.0,-13.200231564981532
600,252.664375,216.42,273.17,253.234375,300.0,-15.334007428509503
700,224.879375,187.3,244.78,252.15625,260.0,-17.577104270995797
800,252.17125,207.59,277.17,251.5,300.0,-17.537561837353564
900,238.8475,203.72,257.47,254.984375,300.0,-15.275976403213553
1000,246.83125,206.71,267.61,249.921875,300.0,-19.17699743740925
1100,230.378125,196.0,247.95,252.75,310.0,-16.20500222002731
1200,249.769375,212.13,268.45,251.125,300.0,-16.78687642262841
1300,243.145,198.44,261.43,253.875,310.0,-17.522087981391373
1400,257.151875,215.84,276.24,250.28125,310.0,-20.10096412919578
1500,250.35375,212.9,267.39,252.484375,310.0,-19.979422121512755
1600,256.981875,210.64,278.51,249.9375,280.0,-15.412802984979734
1700,249.89125,220.97,265.45,252.0,310.0,-14.31474992652952
1800,235.133125,206.85,249.04,253.96875,300.0,-11.895997416917744
1900,248.841875,209.64,266.1,257.15625,320.0,-16.381268376075894
2000,228.360625,201.12,243.88,253.703125,270.0,-12.773669185086323
2100,237.6825,203.01,254.61,254.828125,270.0,-13.37815182959108
2200,243.75,207.77,260.42,251.109375,310.0,-14.620259881603998
2300,228.204375,196.09,245.64,251.0625,310.0,-15.765848078037024
2400,243.166875,206.74,260.01,255.078125,300.0,-16.061648372126037
2500,246.328125,212.33,263.34,251.53125,310.0,-14.442744733202272
2600,246.86625,213.72,262.19,254.875,310.0,-13.638927083145427
2700,248.31375,209.51,265.41,253.6875,270.0,-16.022754775065945
2800,258.941875,225.84,273.35,251.34375,300.0,-12.64599304586649
2900,239.601875,205.75,256.56,252.078125,310.0,-8.366599575960516
3000,235.34875,209.76,249.49,254.0,310.0,-13.906985394937438
3100,242.930625,211.78,256.51,254.734375,300.0,-15.421858016888509
3200,250.2625,210.89,265.76,253.234375,300.0,-17.132146832637808
3300,237.750625,208.92,252.84,253.515625,290.0,-7.982952346177189
3400,254.5125,217.02,273.94,252.75,300.0,-14.186272015284054
3500,249.10875,216.5,264.91,255.90625,300.0,-13.729061731845718
3600,239.369375,208.79,254.04,255.96875,300.0,-13.390539628773695
3700,258.723125,225.37,273.11,254.921875,310.0,-14.646247981808294
3800,282.2025,244.91,303.2,252.921875,310.0,-14.590175215139025
3900,260.801875,230.31,273.67,251.765625,310.0,-13.509812699631661
4000,251.353125,216.52,266.09,252.125,300.0,-15.05838052842999
4100,247.989375,212.78,262.72,255.0625,300.0,-13.965049797067842
4200,245.246875,217.41,257.33,250.078125,310.0,-12.668075359527101
4300,257.31125,224.99,269.98,252.625,270.0,-15.339711557074352
4400,259.38625,230.2,273.09,255.140625,300.0,-12.525592972959421
4500,236.69875,204.88,252.36,255.65625,300.0,-13.766851358206223
4600,264.205,234.6,277.61,250.75,310.0,-14.210713745717076
4700,255.24375,216.17,272.11,252.46875,310.0,-17.415610948825634
4800,266.015,235.63,281.1,256.546875,300.0,-14.169403445661487
4900,235.590625,214.25,246.8,253.71875,310.0,-8.451000216667977
5000,253.29125,219.91,266.93,256.09375,300.0,-16.13350323498136
