epoch,avg_reward_train,min_reward_train,max_reward_train,avg_reward_val_uni_samp,avg_reward_real,tloss_train
100,225.705625,183.8,256.56,243.796875,300.0,-21.494836611490463
200,236.149375,199.83,258.09,246.734375,310.0,-18.95782698921197
300,215.545,183.15,233.27,246.5625,300.0,-14.544092601037583
400,238.295625,205.25,255.17,246.078125,300.0,-15.733019068273634
500,242.626875,202.83,261.71,242.421875,310.0,-18.59858739358584
600,233.210625,197.65,250.86,246.578125,300.0,-18.53359485997178
700,251.039375,211.81,270.82,247.96875,310.0,-17.604456785283983
800,235.321875,202.06,253.59,251.375,270.0,-10.631741695907731
900,236.375,195.78,255.0,247.890625,300.0,-22.025431801278483
1000,250.936875,218.1,264.95,250.671875,300.0,-15.506250241605157
1100,242.9,216.21,257.49,252.703125,310.0,-12.354153826844414
1200,229.89625,194.26,247.14,248.984375,310.0,-13.834247236738957
1300,260.813125,222.92,277.37,250.453125,300.0,-15.392320757924317
1400,247.879375,217.29,263.64,247.515625,260.0,-14.017764738812694
1500,264.496875,230.28,280.0,251.625,270.0,-16.63798897675472
1600,256.185,220.06,272.94,254.765625,300.0,-18.179043082781135
1700,230.358125,192.06,248.17,252.6875,300.0,-17.865504822590832
1800,247.200625,218.02,260.95,249.515625,300.0,-13.816010992227323
1900,262.235,231.32,276.37,253.234375,280.0,-13.634068729528808
2000,216.748125,183.1,230.74,251.484375,300.0,-14.397793579782842
2100,232.8,197.7,248.4,256.265625,260.0,-16.86786308447107
2200,241.381875,213.3,254.5,253.390625,300.0,-14.226455094421272
2300,259.926875,225.46,276.6,254.8125,280.0,-15.070133726955246
2400,236.408125,209.53,250.54,254.171875,300.0,-12.425960134781498
2500,241.84875,197.16,258.56,254.453125,300.0,-19.445078772554726
2600,256.30375,217.15,273.08,250.078125,280.0,-17.204359723039538
2700,240.705625,212.25,253.36,252.765625,300.0,-11.292790928366184
2800,266.99,234.04,280.69,255.0,300.0,-15.176660091530321
2900,244.711875,216.14,258.42,252.484375,300.0,-10.740290803075277
3000,263.843125,230.74,279.81,252.75,310.0,-14.53785766128909
3100,257.313125,223.81,269.25,251.609375,310.0,-13.68573941419305
3200,239.010625,213.59,251.09,253.34375,300.0,-13.291663897222607
3300,242.98125,216.57,256.08,254.65625,290.0,-12.706126340358004
3400,233.675,206.12,246.16,253.109375,270.0,-12.201238289919493
3500,250.633125,217.77,264.15,253.25,300.0,-16.530621193239757
3600,256.186875,227.48,270.43,253.46875,300.0,-12.298244622894464
3700,265.383125,236.4,276.76,250.765625,300.0,-11.614419797106638
3800,249.33625,223.18,262.76,254.3125,310.0,-10.669228195491568
3900,247.05625,218.16,258.38,252.40625,280.0,-12.71420511848417
4000,250.465625,220.86,262.18,251.71875,310.0,-16.06832367209802
4100,256.21875,228.11,270.46,254.1875,300.0,-10.813107278369117
4200,258.06875,227.93,272.06,253.078125,280.0,-11.36889904783713
4300,248.59875,217.98,260.38,254.234375,300.0,-14.002048146012875
4400,245.921875,218.43,257.45,252.703125,300.0,-13.844822052641884
4500,253.160625,226.65,266.99,255.4375,300.0,-11.788958325991793
4600,257.341875,225.91,271.02,255.734375,300.0,-13.952484497940427
4700,253.9,220.31,267.62,254.828125,270.0,-16.448999338697867
4800,236.501875,215.88,247.91,253.890625,300.0,-7.103904279585314
4900,251.924375,216.07,267.99,256.3125,290.0,-15.165213763316915
5000,263.685625,238.19,275.25,250.046875,300.0,-11.204232605818811
