epoch,avg_reward_train,min_reward_train,max_reward_train,avg_reward_val_uni_samp,avg_reward_real,tloss_train
100,215.055,176.46,246.27,243.859375,270.0,-12.750163808441103
200,252.800625,231.09,265.83,246.546875,310.0,-8.189825747695394
300,243.84875,225.46,256.38,248.609375,300.0,-5.110852444542354
400,248.766875,231.65,260.27,250.9375,300.0,-4.74761047274691
500,252.035625,235.91,264.31,249.1875,310.0,-5.69903114392002
600,250.55375,236.14,262.06,250.140625,300.0,-3.0619009665490737
700,239.295,224.34,248.64,254.3125,300.0,-3.699075286053021
800,221.79875,208.94,229.18,251.890625,300.0,-3.6644529537048784
900,269.06875,255.05,278.84,249.625,300.0,-2.7865410869815186
1000,264.44,254.31,272.3,256.1875,300.0,-1.2445831222340868
1100,250.3175,240.4,257.33,247.5625,310.0,-1.3054660816343375
1200,271.75375,260.87,280.19,252.6875,300.0,-2.26457050959271
1300,263.18375,252.4,272.45,250.890625,270.0,-2.1331151597932383
1400,263.7075,255.98,270.85,250.9375,300.0,-1.4186017872877548
1500,242.6275,234.88,247.28,250.78125,310.0,-1.3145007988218957
1600,252.425625,244.9,258.71,248.890625,310.0,-1.1808148056361116
1700,247.048125,238.03,253.17,250.96875,280.0,-2.405336132728286
1800,266.600625,255.42,275.21,253.109375,300.0,-2.2581459996290394
1900,256.38875,247.99,262.37,253.296875,300.0,-1.832537172721285
2000,267.89625,259.52,274.63,250.796875,310.0,-1.2586299715088258
2100,261.07875,252.71,267.25,254.703125,300.0,-0.8867510141169636
2200,266.22375,257.82,271.36,250.828125,310.0,-1.4843039916422662
2300,257.561875,250.31,264.64,254.140625,300.0,-0.6575558532774787
2400,278.8575,270.45,285.01,252.453125,300.0,-0.6252155593366612
2500,242.2225,233.12,248.97,252.078125,300.0,-1.2863366816876955
2600,260.76625,249.05,268.88,252.53125,300.0,-1.2572854940194662
2700,241.779375,235.47,247.04,251.671875,300.0,-0.5607667035763635
2800,263.496875,259.58,267.07,247.453125,310.0,-0.23742145384093014
2900,266.64875,258.27,273.23,253.484375,300.0,-1.0011980241764613
3000,234.175625,227.62,239.37,256.84375,300.0,-1.0149126972195082
3100,241.441875,236.82,245.33,252.046875,300.0,0.02437049079400106
3200,236.7375,231.91,240.23,252.53125,310.0,-0.24113402483268562
3300,264.235,256.31,270.45,253.203125,300.0,-1.4051691652040432
3400,252.2825,244.05,257.36,254.78125,320.0,-1.4855487450163407
3500,230.97875,224.78,235.52,252.421875,300.0,-0.854883927372489
3600,242.624375,236.01,247.66,252.203125,310.0,-0.3019118253449048
3700,255.700625,251.46,259.71,252.578125,310.0,-0.12703897346640974
3800,252.97125,248.74,257.14,251.796875,310.0,-0.4793412820860866
3900,251.99375,245.71,257.23,249.03125,310.0,-0.7733348779744043
4000,267.5425,262.12,272.3,248.609375,310.0,-0.6662828509973499
4100,252.048125,247.59,255.93,249.25,310.0,-0.33169401855365055
4200,269.1625,264.13,273.25,252.90625,310.0,-0.5270230342684648
4300,268.85875,262.99,273.77,250.859375,300.0,-0.2743725884552573
4400,261.335625,256.09,264.59,254.6875,300.0,-0.8092508789838666
4500,263.8,255.59,269.58,247.46875,270.0,-0.9349716016622043
4600,256.905,249.85,263.34,254.734375,300.0,-0.5177229408147526
4700,261.88625,255.95,267.51,253.5,300.0,-0.0976172350782597
4800,247.378125,241.89,251.55,249.71875,270.0,-0.6817267521953658
4900,250.74875,245.69,257.14,255.875,300.0,-0.25267451474650116
5000,256.478125,249.63,261.63,252.796875,300.0,-1.023245244326948
