epoch,avg_reward_train,min_reward_train,max_reward_train,avg_reward_val_uni_samp,avg_reward_real,tloss_train
100,231.78375,187.37,265.82,241.8125,310.0,-9.633874478570652
200,255.1625,230.93,272.56,247.984375,280.0,-8.469074722493824
300,229.669375,211.68,242.75,252.828125,310.0,-5.558973595528772
400,256.981875,240.76,267.93,253.90625,310.0,-4.768767785538621
500,233.905,220.49,244.63,252.46875,310.0,-4.29480979516256
600,252.466875,235.01,265.39,251.921875,300.0,-5.9199787069909915
700,264.20125,248.23,276.73,252.5625,310.0,-5.920185463026226
800,260.220625,248.12,267.68,249.09375,270.0,-3.291742290266002
900,244.601875,233.87,251.63,244.40625,270.0,-3.039132497465853
1000,254.646875,240.6,265.64,251.09375,310.0,-3.246862087810273
1100,269.76,257.33,279.52,254.609375,300.0,-3.253743259720527
1200,229.6175,220.37,236.16,253.75,310.0,-2.012114088365654
1300,239.1625,226.96,246.27,243.890625,270.0,-3.944232970350167
1400,245.625,233.62,254.95,253.625,300.0,-2.9471549329015247
1500,250.21625,240.1,258.51,251.546875,270.0,-2.434224366672494
1600,239.8425,232.89,244.93,252.21875,300.0,-0.5309404102052925
1700,235.2775,225.6,241.72,251.1875,300.0,-1.9974335940004102
1800,251.80125,241.14,259.43,253.921875,300.0,-2.2257704678529215
1900,260.903125,253.78,266.07,251.640625,300.0,-1.0135522977639637
2000,235.995,226.61,243.22,252.140625,310.0,-1.1621035263633197
2100,247.175,239.1,253.74,254.4375,300.0,-0.8721018913294522
2200,257.64875,251.56,262.93,250.734375,280.0,-0.938206724505687
2300,240.96625,234.98,245.29,252.78125,310.0,-1.3444255102151415
2400,248.865,242.78,253.42,249.40625,310.0,-0.7325679457976203
2500,248.12625,242.42,253.44,252.765625,310.0,-0.517188749629681
2600,253.86125,245.37,261.75,252.421875,300.0,-0.5342743801139508
2700,213.929375,208.58,219.4,252.671875,310.0,-0.0493529686082648
2800,238.445625,231.43,244.89,251.390625,300.0,-0.3910606932729834
2900,246.915,239.02,252.59,250.921875,310.0,-1.3811890210263504
3000,247.315625,242.26,251.22,252.078125,310.0,-0.7975946995790878
3100,266.25125,258.65,270.7,247.4375,310.0,-1.5684921650125034
3200,255.20625,247.23,262.05,252.171875,310.0,-0.9807197337712242
3300,274.109375,265.43,280.77,251.109375,310.0,-0.6685060647387684
3400,276.57125,270.2,282.33,253.890625,300.0,-0.34170132835333633
3500,257.831875,252.0,262.43,253.140625,300.0,-0.7838387021154775
3600,269.02875,259.84,274.02,253.171875,300.0,-1.8335078878851043
3700,237.000625,230.25,241.81,253.15625,300.0,-1.03960262536531
3800,240.76,235.22,245.36,253.609375,300.0,-0.40628181991023044
3900,263.13625,256.58,266.99,254.5625,300.0,-0.9931103033535892
4000,229.1675,224.53,232.45,254.53125,310.0,-0.5992730646170813
4100,242.69375,238.55,245.66,252.65625,310.0,-0.4638812142130346
4200,263.61125,258.98,267.07,249.375,310.0,-0.8585043132761327
4300,244.8875,240.42,248.12,252.171875,310.0,-0.7430321816674667
4400,235.945,231.39,239.53,246.796875,310.0,-0.51324091786124
4500,247.953125,244.08,251.57,252.421875,310.0,-0.011145028769177471
4600,248.52125,244.07,251.96,248.65625,310.0,-0.7051243643323568
4700,253.60625,248.88,256.46,250.34375,310.0,-0.9583514811713708
4800,245.979375,239.63,251.34,253.53125,310.0,-0.739806110664185
4900,236.54875,232.68,240.41,247.015625,300.0,0.04997377155036346
5000,249.509375,243.49,255.98,252.75,300.0,-0.4430853611251892
