epoch,avg_reward_train,min_reward_train,max_reward_train,avg_reward_val_uni_samp,avg_reward_real,tloss_train
100,124.81375,95.46,149.88,154.15625,241.0,-1.7287889574334403
200,142.165,110.95,165.9,156.46875,252.0,-6.903099928839442
300,151.00875,122.19,171.73,162.484375,228.0,-5.952808868619534
400,149.846875,119.85,169.96,163.875,219.0,-10.687730480401253
500,148.465,117.22,169.47,166.125,257.0,-4.391286224884103
600,155.375,124.89,175.77,167.640625,245.0,-8.753466016037029
700,178.8825,151.12,199.57,166.1875,255.0,-12.657180286641422
800,149.888125,116.79,171.27,173.375,245.0,-12.342756939567037
900,156.358125,124.9,178.63,175.625,242.0,-6.512071866645275
1000,163.40875,138.67,180.06,172.015625,248.0,-9.468972966413379
1100,157.67,131.61,176.83,176.234375,273.0,-8.936128329926655
1200,147.560625,121.78,163.56,176.53125,245.0,-10.857885602454758
1300,148.194375,119.5,167.62,172.265625,243.0,-10.489221039657682
1400,157.480625,130.43,174.94,178.28125,247.0,-12.029525604096712
1500,168.5325,137.71,186.35,176.984375,292.0,-14.482894363523704
1600,178.5375,145.7,198.48,174.328125,305.0,-12.524828919121576
1700,173.21375,145.35,191.64,178.078125,296.0,-8.618225274250364
1800,151.11125,125.47,166.97,178.8125,245.0,-11.416314503146117
1900,175.0175,150.49,192.27,177.609375,262.0,-11.522623504528617
2000,159.25125,134.27,175.36,179.515625,293.0,-12.140376694676293
2100,157.884375,129.96,174.26,179.59375,267.0,-11.058840876136626
2200,180.143125,151.79,197.01,179.703125,281.0,-11.504340629635918
2300,161.666875,138.29,178.18,181.265625,245.0,-8.777491686535738
2400,179.31,151.2,196.51,182.5625,291.0,-14.892709184606792
2500,176.68875,149.77,193.33,181.0,258.0,-10.444919083235998
2600,174.13375,146.39,190.06,181.390625,247.0,-10.791108006802142
2700,142.505625,120.26,156.47,176.734375,273.0,-7.702915631865268
2800,168.575,141.87,184.31,180.296875,298.0,-10.483644019760376
2900,173.7,150.11,189.79,181.609375,293.0,-10.741557798025804
3000,168.22,143.25,180.98,184.28125,293.0,-12.265139914915526
3100,182.6475,156.37,198.14,183.90625,306.0,-12.58553731094004
3200,168.896875,142.62,184.77,182.5625,278.0,-10.693539582951312
3300,154.549375,130.52,167.79,181.984375,284.0,-11.637921207182139
3400,162.940625,140.19,176.11,182.828125,298.0,-12.93816176027708
3500,176.474375,148.94,190.87,181.03125,257.0,-13.268759166139214
3600,185.756875,159.53,201.47,182.78125,272.0,-10.805190995023668
3700,154.17,134.41,165.99,183.546875,306.0,-9.737577294665973
3800,151.038125,130.59,162.72,181.140625,296.0,-9.200950957739753
3900,187.181875,161.77,201.67,182.71875,293.0,-11.289001220791048
4000,134.6575,116.3,145.77,175.421875,241.0,-6.297068674650771
4100,166.778125,139.6,179.59,179.671875,239.0,-10.476978006844911
4200,178.6475,152.36,192.63,183.609375,293.0,-11.780272975554599
4300,171.373125,149.97,183.99,184.296875,293.0,-10.847711558639151
4400,158.974375,139.24,171.87,179.625,294.0,-7.578917575705247
4500,158.8325,131.41,171.46,181.546875,268.0,-10.124764418641814
4600,175.30875,153.1,188.0,181.8125,298.0,-10.456630005275219
4700,164.29625,141.76,177.23,181.5625,287.0,-9.737053211139209
4800,167.284375,145.07,180.01,181.078125,272.0,-10.469921051946429
4900,177.39875,148.8,191.18,183.265625,291.0,-10.382810418999684
5000,167.126875,144.14,179.64,184.5,306.0,-11.038038458569602
