epoch,avg_reward_train,min_reward_train,max_reward_train,avg_reward_val_uni_samp,avg_reward_real,tloss_train
100,111.62625,85.2,132.49,157.015625,221.0,-1.72276001536707
200,162.743125,133.07,185.27,153.9375,200.0,-10.38079240477052
300,136.423125,110.83,156.47,164.09375,231.0,-6.992178847373919
400,149.00625,122.54,168.67,170.125,235.0,-9.904701205098894
500,156.790625,127.29,178.36,170.3125,242.0,-10.317803239561654
600,141.934375,114.85,160.02,170.625,239.0,-11.08520473018049
700,179.6625,149.8,200.67,175.546875,241.0,-8.960604212445219
800,177.685625,149.71,197.97,175.6875,268.0,-13.005383413794181
900,140.8875,116.67,158.9,173.421875,239.0,-7.714361056964986
1000,154.325625,124.75,173.4,173.4375,263.0,-11.273322326660868
1100,151.1175,124.55,168.5,172.578125,267.0,-9.838676700597967
1200,163.093125,134.81,184.21,177.359375,259.0,-14.057216566552993
1300,169.751875,142.43,187.33,173.09375,237.0,-11.773058984773094
1400,160.87375,134.35,179.19,176.84375,249.0,-11.317471289368534
1500,176.970625,147.23,195.17,178.90625,266.0,-15.662443363920246
1600,171.49,143.05,189.07,179.125,247.0,-12.614098067315087
1700,163.079375,132.46,181.7,175.890625,247.0,-11.804222329624771
1800,176.1675,149.26,193.6,178.625,247.0,-10.994998736151949
1900,166.198125,138.77,181.8,177.65625,271.0,-11.507387288371927
2000,157.99,130.16,175.78,178.9375,276.0,-10.16233852905254
2100,155.04625,132.07,169.43,180.109375,245.0,-10.476428654266952
2200,186.95125,157.22,205.15,180.21875,260.0,-11.65716742302736
2300,174.283125,147.7,190.98,177.0625,273.0,-11.448007328759383
2400,183.05125,156.09,200.36,179.0625,281.0,-11.74940406474917
2500,164.976875,140.68,180.3,180.328125,273.0,-8.51563508212123
2600,162.815,140.35,177.62,182.078125,246.0,-8.54975263120431
2700,163.003125,139.2,178.46,176.390625,279.0,-11.496974805405753
2800,162.581875,139.61,177.99,181.796875,275.0,-8.502296605810177
2900,180.2875,153.53,198.24,177.765625,263.0,-11.39267684742714
3000,167.101875,142.79,182.32,178.53125,265.0,-8.889105111235878
3100,175.40125,150.97,190.5,181.46875,278.0,-10.9381173045073
3200,169.73125,146.09,184.25,182.734375,258.0,-9.26266604075705
3300,158.4975,135.55,172.71,179.0,267.0,-9.045861961725265
3400,153.921875,132.05,166.63,182.328125,247.0,-8.869275136846083
3500,173.531875,149.06,187.65,182.875,287.0,-11.961826095513366
3600,167.414375,145.17,181.46,183.578125,248.0,-9.929885488914621
3700,167.14,142.81,180.85,181.625,258.0,-10.001347927391238
3800,180.373125,154.83,193.57,183.359375,293.0,-11.803011113467466
3900,172.8625,150.42,185.68,179.453125,273.0,-8.244038577394289
4000,173.01875,151.24,186.4,181.5,273.0,-8.361398536948426
4100,160.481875,140.46,172.18,182.15625,292.0,-8.503116922329493
4200,149.599375,127.02,161.22,180.84375,258.0,-9.950880259200323
4300,168.2975,147.01,180.75,184.328125,293.0,-9.021492343950866
4400,172.536875,147.08,186.54,183.375,281.0,-9.219728158362411
4500,169.506875,146.38,181.52,183.390625,296.0,-10.124024985598407
4600,166.815625,142.34,180.86,183.53125,246.0,-9.161200405259555
4700,203.176875,175.48,218.81,182.390625,293.0,-11.574505535387097
4800,174.195625,151.08,187.01,183.65625,279.0,-9.484314356803539
4900,170.01,148.16,182.14,182.375,297.0,-8.893637993049886
5000,169.950625,146.79,183.67,184.46875,293.0,-8.98809968694395
