epoch,avg_reward_train,min_reward_train,max_reward_train,avg_reward_val_uni_samp,avg_reward_real,tloss_train
100,113.90625,83.78,141.13,153.40625,221.0,5.45804490202137
200,142.5275,122.83,158.83,157.609375,253.0,-5.300050696609997
300,146.41125,126.1,164.18,163.21875,228.0,-7.0533651200010645
400,147.48625,130.59,161.72,162.328125,235.0,-6.352530791436851
500,148.309375,132.29,160.84,173.6875,270.0,-4.497932114336979
600,162.1275,143.96,176.85,170.671875,233.0,-5.692512202818741
700,151.9775,137.42,164.01,172.015625,268.0,-4.074234697118751
800,167.40875,150.5,181.84,175.296875,265.0,-5.244667504359129
900,166.401875,150.88,179.84,175.828125,268.0,-4.319231591161724
1000,167.375,151.01,181.87,170.9375,301.0,-4.075711712940292
1100,167.4325,151.25,179.63,172.75,239.0,-5.52673034214776
1200,162.405,145.52,175.19,178.03125,291.0,-4.368629938874768
1300,177.1,161.02,188.67,174.453125,301.0,-4.721478136807108
1400,164.3725,150.1,173.56,175.46875,244.0,-3.8488668560469352
1500,171.244375,156.16,183.07,178.046875,275.0,-2.5933382517044983
1600,159.345625,145.83,170.93,178.265625,305.0,-1.9728823361739405
1700,146.279375,133.58,156.06,179.609375,287.0,-1.9301727736526888
1800,174.459375,159.85,185.83,180.015625,285.0,-2.475048445932619
1900,169.868125,157.35,179.99,178.21875,275.0,-2.001695461900438
2000,167.03375,151.33,179.47,181.109375,291.0,-4.200626092930777
2100,159.95875,146.85,169.72,181.09375,275.0,-2.6533330976483307
2200,169.3875,155.32,179.72,178.765625,243.0,-2.801957166075519
2300,181.44375,167.74,191.91,176.875,281.0,-2.263907742201055
2400,192.181875,178.05,204.13,180.453125,259.0,-2.7543852668521334
2500,155.789375,142.56,166.09,178.671875,279.0,-1.7907319601103586
2600,143.83375,131.58,153.93,173.421875,229.0,-2.492729424211559
2700,177.87625,165.29,187.93,177.96875,247.0,-1.745440139726997
2800,183.70625,170.41,194.89,182.25,280.0,-2.6203699202934274
2900,175.940625,163.02,186.81,177.1875,291.0,-2.0251842369206288
3000,164.8875,153.22,173.42,181.015625,268.0,-1.8559112877341466
3100,167.468125,154.52,179.42,172.71875,275.0,-1.654014815760329
3200,172.315625,161.57,181.5,177.390625,298.0,-2.081750614843624
3300,181.468125,168.47,191.97,179.65625,297.0,-1.0840327920524515
3400,161.18625,149.32,168.92,178.359375,278.0,-1.1708965926186472
3500,172.615625,160.95,182.51,180.34375,287.0,-1.5560890145689894
3600,175.811875,163.58,185.14,180.234375,293.0,-1.879152535676746
3700,182.77875,170.25,192.77,179.171875,274.0,-2.3591047559096348
3800,152.675,141.91,160.49,179.875,271.0,-1.8116899073802832
3900,174.625625,163.0,184.39,179.125,288.0,-1.4840030715420642
4000,189.50125,177.69,199.53,180.265625,293.0,-1.1617981616105493
4100,172.103125,161.84,179.5,178.453125,280.0,-1.5706118628164956
4200,186.084375,175.72,195.8,182.84375,287.0,-1.8972600370313077
4300,180.58875,169.85,189.7,178.421875,293.0,-0.4904497103094577
4400,171.4125,160.43,179.28,177.8125,256.0,-2.2077071332058495
4500,163.42375,153.13,170.79,181.0625,264.0,-1.191490455106158
4600,173.479375,163.16,181.74,181.796875,281.0,-1.326341469287777
4700,172.68125,162.02,180.17,181.234375,282.0,-2.0129221227758634
4800,166.669375,155.87,175.53,179.71875,278.0,-1.5046479201437186
4900,180.73125,168.38,189.69,179.25,277.0,-2.4096486843776335
5000,184.463125,174.28,194.4,180.890625,277.0,-0.986290942907757
