epoch,avg_reward_train,min_reward_train,max_reward_train,avg_reward_val_uni_samp,avg_reward_real,tloss_train
100,116.431875,84.81,145.48,155.765625,228.0,8.267795460979956
200,153.22625,128.76,173.27,160.9375,246.0,-7.730656314662964
300,141.083125,121.79,155.27,154.65625,240.0,-6.58243322201758
400,165.014375,142.54,182.65,164.078125,229.0,-7.132276770734333
500,155.6975,135.38,170.86,174.09375,241.0,-7.66946898809784
600,174.921875,155.91,191.4,168.828125,239.0,-7.616205720104283
700,169.66625,151.62,184.66,174.09375,244.0,-5.17092976281262
800,165.304375,148.99,179.67,178.109375,268.0,-5.031649790675809
900,182.214375,161.98,196.82,177.71875,272.0,-7.186009223399881
1000,156.771875,140.33,169.24,177.640625,264.0,-5.280159358236421
1100,160.273125,145.74,172.83,177.234375,242.0,-5.449874738878898
1200,181.2325,164.14,193.88,174.609375,250.0,-5.69750846986037
1300,190.116875,173.9,202.54,177.5625,259.0,-3.781527481548859
1400,146.463125,133.23,156.69,176.546875,238.0,-2.750035044892167
1500,179.89875,161.06,192.27,176.890625,270.0,-5.129905005961282
1600,176.909375,162.01,188.15,176.4375,284.0,-4.536922962249987
1700,160.240625,147.28,169.64,178.546875,232.0,-2.179031138559513
1800,184.665,170.06,195.94,180.203125,277.0,-3.026205460648009
1900,176.341875,162.62,187.71,176.0,263.0,-4.162311841399655
2000,177.974375,165.1,188.24,173.5625,260.0,-3.6137472669827133
2100,167.92625,153.22,179.64,177.78125,267.0,-2.3771440742863335
2200,167.793125,155.0,176.97,181.671875,282.0,-2.402007296418715
2300,161.624375,151.66,169.7,178.328125,261.0,-1.6348312151056121
2400,185.85125,172.05,195.38,177.796875,288.0,-3.3131281632398744
2500,177.356875,162.74,187.7,178.796875,283.0,-1.8466117493576504
2600,160.77875,148.72,170.74,180.171875,276.0,-1.5245336868379409
2700,195.4925,180.23,205.7,174.71875,271.0,-4.927248345608034
2800,172.905625,161.81,183.88,180.703125,293.0,-1.136322613820345
2900,164.324375,152.43,173.63,177.71875,293.0,-2.231278702041779
3000,169.398125,156.24,178.14,176.453125,253.0,-3.803091183003025
3100,165.876875,155.27,174.47,177.953125,282.0,-1.8676427869520718
3200,163.718125,153.39,172.02,177.28125,259.0,-1.4727705995587512
3300,150.53875,141.05,157.34,179.1875,293.0,-1.4428186112648844
3400,175.406875,163.17,187.85,179.671875,276.0,-0.40377765557596773
3500,183.7975,173.02,192.84,175.625,279.0,-1.904672826660552
3600,165.096875,151.87,174.18,173.984375,276.0,-2.700009047769055
3700,174.729375,163.97,183.04,178.984375,242.0,-2.5126775514742765
3800,165.99,155.44,175.99,180.296875,292.0,-0.7726047294785432
3900,174.87125,163.03,184.57,178.59375,275.0,-1.7472360849204094
4000,180.66,167.49,190.85,173.078125,250.0,-1.8243003444775403
4100,171.13,159.97,181.27,177.625,260.0,-1.31757229033369
4200,163.0325,151.28,172.41,177.5,275.0,-2.0126468865856366
4300,173.640625,161.69,183.5,178.328125,276.0,-2.2123077562197535
4400,171.270625,160.42,179.22,176.0625,283.0,-2.0448131659024416
4500,186.4375,175.02,195.57,180.28125,293.0,-2.391673921425661
4600,184.018125,173.43,191.98,180.5625,293.0,-1.2978128975362284
4700,188.29625,176.49,196.67,180.203125,278.0,-2.7674300265836482
4800,173.268125,163.8,180.77,179.90625,293.0,-0.40390284190753284
4900,171.365625,160.72,180.59,182.9375,284.0,-1.8421057038774946
5000,175.065,165.97,182.45,170.671875,279.0,-1.505101834786906
