epoch,avg_reward_train,min_reward_train,max_reward_train,avg_reward_val_uni_samp,avg_reward_real,tloss_train
100,100.373125,71.64,118.28,101.96875,175.0,-10.379858706583745
200,105.2625,80.79,121.3,107.46875,175.0,-9.821032262502998
300,108.098125,81.3,123.67,104.375,175.0,-13.30083612355895
400,103.783125,82.13,114.89,104.59375,164.0,-9.71117461127744
500,113.5025,89.16,124.86,106.1875,175.0,-11.111980524300867
600,113.12,89.6,123.51,107.40625,192.0,-9.325496865357774
700,110.028125,91.26,117.86,108.9375,179.0,-8.154289636077173
800,108.63,89.98,117.98,107.4375,192.0,-8.492483320534877
900,110.09375,91.27,118.26,108.5625,192.0,-7.561683737931139
1000,112.2,93.6,121.17,108.65625,179.0,-9.212844951953038
1100,106.313125,90.18,114.14,108.0,192.0,-8.136484691488146
1200,109.88375,89.67,117.48,108.46875,192.0,-8.469657193302623
1300,119.2,98.42,129.17,108.25,192.0,-8.785348671687101
1400,113.06375,90.21,124.36,106.4375,175.0,-9.190197162068094
1500,119.084375,102.23,126.25,107.71875,192.0,-6.830701435537852
1600,112.745,90.96,123.13,107.90625,175.0,-8.138524144533106
1700,128.430625,106.52,139.72,109.328125,192.0,-10.018235698098692
1800,105.485625,92.42,112.37,107.75,192.0,-4.582622426117774
1900,118.69125,101.97,126.87,107.640625,192.0,-7.169340082875726
2000,92.365625,75.02,100.15,108.96875,179.0,-6.869652335381124
2100,100.52,86.52,107.43,108.5,192.0,-5.303008116204335
2200,118.751875,100.66,125.25,108.109375,192.0,-8.754450073278775
2300,114.4725,98.04,121.11,108.234375,192.0,-6.793681246128237
2400,115.4425,99.54,121.63,108.515625,192.0,-6.833792554696601
2500,112.274375,95.39,118.87,108.28125,192.0,-7.831463699536659
2600,109.533125,92.07,116.92,107.390625,192.0,-7.698374540144957
2700,98.94375,81.57,106.35,106.921875,192.0,-7.656482923799724
2800,111.285625,92.48,118.57,107.796875,192.0,-8.034236692299949
2900,113.35875,98.19,119.3,108.859375,179.0,-5.833118719174523
3000,118.10625,103.83,125.13,107.84375,192.0,-6.003562780361497
3100,102.9,87.73,109.03,107.890625,192.0,-7.164077248949641
3200,118.11,100.16,124.34,109.015625,179.0,-7.523808385177005
3300,115.505,99.93,122.59,108.34375,192.0,-5.813695940005276
3400,124.756875,109.6,131.3,108.53125,192.0,-5.340664178986384
3500,117.791875,102.66,123.72,108.625,197.0,-6.5413938637883735
3600,122.733125,108.04,130.01,108.125,192.0,-6.452409128783472
3700,103.075625,85.97,109.14,108.109375,197.0,-7.025197364157642
3800,119.125,103.27,126.81,108.0,190.0,-6.841925435261544
3900,122.584375,102.73,130.82,108.515625,197.0,-8.923149785759845
4000,126.93,109.74,135.07,107.53125,192.0,-7.001640115830908
4100,97.89875,82.85,104.36,106.90625,175.0,-6.256028257998994
4200,101.921875,88.72,107.3,107.25,190.0,-4.922105833986915
4300,121.73625,107.19,129.07,107.6875,192.0,-6.718307959899845
4400,124.566875,106.6,133.26,107.96875,192.0,-7.380732109764953
4500,120.666875,101.02,128.51,107.296875,192.0,-8.409575704537788
4600,105.6125,95.7,110.41,109.40625,197.0,-4.023105640811146
4700,101.47375,90.41,107.08,108.4375,192.0,-3.2903749607404054
4800,114.23,97.99,122.55,108.4375,192.0,-5.583270566180554
4900,110.748125,97.87,115.82,108.015625,197.0,-5.286165598536115
5000,118.179375,101.84,124.31,108.53125,190.0,-6.768534262099792
