epoch,avg_reward_train,min_reward_train,max_reward_train,avg_reward_val_uni_samp,avg_reward_real,tloss_train
100,88.55,64.56,106.01,104.375,175.0,-8.496555145734096
200,99.791875,78.05,114.08,103.328125,175.0,-8.584047919981804
300,116.250625,90.69,130.97,104.953125,175.0,-10.512794546247147
400,113.553125,89.98,126.0,107.640625,175.0,-12.035557758948425
500,113.439375,95.45,122.75,108.25,175.0,-6.966974597569393
600,110.870625,91.54,120.53,107.421875,175.0,-8.478276382526907
700,109.1275,88.96,119.91,108.359375,175.0,-9.012687815716832
800,109.775625,88.88,119.56,108.0,175.0,-10.137159995240301
900,114.81625,96.13,123.11,108.34375,175.0,-8.01333995651986
1000,106.50875,91.4,114.19,107.71875,179.0,-6.391008822660967
1100,106.4675,88.43,114.68,105.515625,175.0,-7.252688409504876
1200,109.078125,89.77,118.37,107.640625,179.0,-8.495746343371286
1300,105.854375,86.02,113.52,107.046875,192.0,-9.150610605868053
1400,112.135,91.04,122.15,108.890625,175.0,-8.688669010663796
1500,114.46,97.88,121.75,107.8125,192.0,-6.432186775640293
1600,125.8075,105.61,136.22,107.859375,192.0,-8.348196450875168
1700,115.565625,96.04,123.47,108.21875,192.0,-9.235400639591901
1800,110.646875,93.31,118.53,108.546875,197.0,-7.665714955879304
1900,118.64125,102.52,125.39,109.515625,191.0,-7.119352306484607
2000,109.3625,95.24,116.04,108.40625,178.0,-5.562333796022759
2100,121.708125,105.31,129.56,108.984375,197.0,-6.1845513068383955
2200,103.2,91.71,108.5,108.640625,197.0,-4.78092711496816
2300,114.335625,98.28,121.16,107.890625,192.0,-6.2031360468301475
2400,121.70125,101.98,131.13,108.109375,192.0,-7.875941918170222
2500,120.1175,99.52,128.4,108.96875,197.0,-9.43230185225773
2600,107.00625,91.12,113.11,109.0625,177.0,-6.121250037094996
2700,103.048125,86.95,110.45,107.671875,197.0,-6.0645573418716445
2800,113.8475,97.43,120.22,109.1875,191.0,-5.7644360612968555
2900,107.419375,89.89,114.57,108.171875,179.0,-8.712130042078554
3000,121.18,103.81,129.37,108.5,192.0,-7.22089778484347
3100,106.03625,87.83,114.32,107.78125,179.0,-8.843975586946431
3200,112.983125,97.08,119.75,106.265625,182.0,-6.48277523159803
3300,120.52125,105.02,127.39,108.5625,192.0,-5.501568370293345
3400,136.42,116.42,143.92,108.203125,179.0,-9.164569508872807
3500,106.176875,89.56,114.02,107.046875,192.0,-5.806770350872083
3600,112.20875,97.66,118.62,107.109375,192.0,-5.7685958421416395
3700,111.29125,99.77,116.86,108.484375,197.0,-4.220155832743808
3800,119.10375,104.75,125.3,108.4375,197.0,-5.770349231374318
3900,114.019375,95.71,121.83,108.203125,191.0,-7.352850125621416
4000,118.31875,104.38,124.87,107.9375,179.0,-5.954153772324398
4100,108.73125,95.19,113.97,107.703125,192.0,-4.993745033366037
4200,112.208125,96.44,118.77,109.171875,197.0,-6.637026148150646
4300,120.43375,104.02,128.3,109.109375,179.0,-6.835786498118479
4400,122.971875,107.59,128.55,108.4375,197.0,-5.763052398304633
4500,120.631875,104.07,127.73,108.921875,192.0,-5.826251193601352
4600,110.7275,91.7,119.34,108.6875,198.0,-8.547804271308445
4700,101.836875,88.2,108.04,108.09375,192.0,-6.0108634815049165
4800,112.08125,98.03,118.55,110.5,198.0,-4.838827279850593
4900,112.67625,99.59,117.79,107.75,197.0,-4.522869114165709
5000,120.925,102.55,128.67,108.609375,192.0,-7.2471291948025724
