epoch,avg_reward_train,min_reward_train,max_reward_train,avg_reward_val_uni_samp,avg_reward_real,tloss_train
100,90.62,68.5,106.99,104.25,164.0,-7.390383858314383
200,116.69125,101.19,125.87,107.015625,175.0,-6.013752975920617
300,108.490625,97.48,114.05,106.59375,179.0,-3.5174046165033768
400,128.890625,119.23,135.59,107.5625,179.0,-2.8500215303218193
500,116.870625,108.3,121.34,107.8125,192.0,-2.456420470092389
600,121.49375,115.32,125.5,107.078125,179.0,-1.5432290380786682
700,125.9975,118.67,130.17,107.28125,192.0,-1.5391442378465277
800,123.60125,117.25,126.9,107.484375,197.0,-1.2396697371071175
900,118.10875,112.35,121.8,108.40625,192.0,-1.1697470544299537
1000,120.67,116.24,123.34,107.59375,179.0,-0.7222822870276068
1100,129.74375,124.53,133.22,108.21875,179.0,-0.6618971803414901
1200,118.0725,113.36,121.6,107.4375,192.0,-0.5785445244654964
1300,117.454375,112.81,120.09,107.015625,179.0,-1.143954899765405
1400,123.655625,119.39,126.66,108.21875,192.0,-1.179239450432118
1500,129.115,123.55,131.84,109.140625,182.0,-1.3997093201943358
1600,117.52,113.5,121.73,109.40625,175.0,-0.3685893631674966
1700,122.4775,118.33,126.59,108.03125,197.0,-0.20741745974932863
1800,131.549375,127.64,134.09,109.640625,191.0,-0.6573858848976363
1900,122.39875,119.33,124.37,107.875,179.0,-0.2547477259610359
2000,121.0025,118.18,123.75,106.671875,179.0,-0.15915588290981908
2100,106.97875,103.91,109.51,107.015625,179.0,-0.45634352529884814
2200,105.6275,101.12,108.57,108.796875,190.0,-0.7627792728805014
2300,112.853125,108.4,115.94,108.671875,192.0,-0.20997849111016856
2400,123.511875,119.6,125.9,108.1875,192.0,-0.6953897371163654
2500,119.104375,115.39,121.31,108.46875,192.0,-0.6804682094271607
2600,110.140625,107.28,111.93,107.015625,192.0,-0.40345985928604605
2700,121.13875,117.46,123.96,107.734375,191.0,-0.3362905684027451
2800,111.43625,109.3,112.93,107.921875,192.0,-0.28100372808392576
2900,113.566875,111.5,115.34,107.109375,192.0,0.0003436043184015114
3000,112.510625,110.98,113.63,106.859375,192.0,-0.37140110894676076
3100,115.05,111.67,117.38,107.796875,192.0,-0.6253481414162396
3200,114.653125,113.08,115.84,109.0625,192.0,-0.22334096878589002
3300,116.47,113.73,118.11,107.390625,192.0,-0.46397984233134265
3400,126.886875,124.86,128.23,108.65625,192.0,-0.2245847200839941
3500,123.2375,120.53,125.94,106.953125,179.0,0.038084205295616576
3600,109.955,106.76,112.53,108.125,197.0,-0.47236102953589687
3700,108.164375,104.9,109.68,107.625,177.0,-0.7798618128155935
3800,114.9425,112.57,116.81,107.96875,182.0,-0.31706447940932847
3900,122.119375,120.0,124.24,108.828125,182.0,0.009488153974050792
4000,107.7075,105.72,110.01,108.71875,192.0,-0.03666913018811696
4100,120.33625,118.91,121.38,107.125,192.0,-0.1668566286655138
4200,113.21125,110.97,115.89,107.0625,197.0,0.07339891420694208
4300,120.2275,117.36,122.75,107.90625,182.0,-0.432609950041433
4400,116.486875,115.33,117.33,106.765625,182.0,-0.25947355553585794
4500,116.280625,115.1,117.48,107.140625,192.0,0.07506784942679864
4600,127.775,126.45,128.88,107.734375,192.0,-0.02587266134357914
4700,117.154375,115.59,118.0,107.328125,175.0,-0.21231069481755627
4800,125.791875,122.77,128.39,106.90625,192.0,-0.2871834482908943
4900,120.509375,117.37,121.89,107.59375,192.0,-0.4336080286132277
5000,112.634375,111.17,114.62,107.4375,179.0,0.1802186642436242
