epoch,avg_reward_train,min_reward_train,max_reward_train,avg_reward_val_uni_samp,avg_reward_real,tloss_train
100,83.22125,59.29,101.76,104.9375,175.0,-4.558072615120901
200,110.875625,97.65,118.38,106.109375,175.0,-3.6996520312772203
300,117.56125,107.71,123.97,105.125,175.0,-2.086655441070206
400,111.754375,101.05,117.22,106.15625,179.0,-3.924880846295934
500,105.199375,97.46,110.82,106.890625,198.0,-0.9133152895245396
600,124.813125,117.72,130.25,106.8125,175.0,-1.54427669523751
700,104.00625,97.46,108.83,107.578125,179.0,-1.3012623030093524
800,125.139375,118.26,130.58,108.0,192.0,-1.0699084190449921
900,101.289375,96.91,103.88,108.859375,179.0,-1.3357630449869722
1000,124.2625,119.49,127.19,108.0625,179.0,-1.146511164517767
1100,109.075625,101.63,113.33,108.125,192.0,-1.2115270029922818
1200,126.245625,120.8,130.38,108.71875,175.0,-1.2839191840200197
1300,129.75875,124.83,132.94,108.40625,179.0,-1.0415720419448855
1400,124.741875,120.94,127.54,107.546875,192.0,-0.4026383595577478
1500,123.324375,117.34,127.44,109.3125,197.0,-0.7509912079108405
1600,110.036875,106.45,112.36,109.609375,174.0,-0.6393857984138726
1700,119.39625,115.42,121.86,109.09375,178.0,-0.5554310145758672
1800,113.365625,110.36,114.77,104.015625,192.0,-0.6279371752640387
1900,121.7975,117.98,124.49,106.0625,192.0,-0.7882999971408198
2000,119.2,116.02,120.62,106.546875,192.0,-1.0382979881260022
2100,112.799375,109.12,116.01,109.46875,179.0,-0.1728913776735511
2200,125.758125,121.4,128.63,108.171875,192.0,-0.9024173642557138
2300,114.3375,112.27,116.02,106.78125,179.0,-0.12137066411693219
2400,105.561875,101.6,108.45,108.25,179.0,-0.6187662625467271
2500,131.241875,127.59,133.97,108.5625,192.0,-0.9701594724267489
2600,101.95375,99.87,103.16,109.421875,174.0,-0.5825191459238109
2700,121.108125,117.61,123.48,107.8125,197.0,-0.68989720941934
2800,112.565625,109.47,114.66,108.578125,190.0,-0.5754312206124026
2900,111.829375,109.01,114.53,108.0625,177.0,0.05864694978506395
3000,113.1425,108.67,116.32,107.875,179.0,-0.9961371538765954
3100,106.183125,103.89,108.34,107.96875,175.0,-0.33820602849306847
3200,120.8475,118.17,122.79,107.8125,192.0,-0.2170928022928175
3300,118.28125,115.3,121.07,107.96875,192.0,-0.19952602272038886
3400,108.261875,107.42,109.59,104.1875,197.0,0.12886534482143727
3500,121.4925,116.0,124.85,108.703125,174.0,-0.1789713909960799
3600,112.77875,109.99,114.55,108.859375,182.0,-0.277216134957009
3700,108.9525,105.78,111.27,108.546875,197.0,-0.15367270187517043
3800,128.61875,126.24,130.09,110.21875,191.0,-0.22165982540189094
3900,110.090625,108.37,111.3,108.40625,186.0,-0.2304345431450288
4000,106.133125,103.24,108.13,107.578125,197.0,-0.20453328892377873
4100,120.62,116.69,124.43,107.1875,197.0,-0.3095383625470928
4200,112.679375,109.83,114.68,107.875,197.0,-0.2791197176261304
4300,118.548125,115.81,119.98,107.5625,191.0,-0.6072947943478552
4400,123.909375,121.9,125.6,108.0,190.0,-0.16829843450064128
4500,118.939375,117.93,119.59,106.953125,138.0,-0.15687328674811896
4600,119.360625,118.09,120.4,107.90625,182.0,-0.12968505009707784
4700,119.83875,118.06,121.01,108.0625,164.0,-0.28402467597817194
4800,114.6925,112.56,117.44,107.328125,179.0,0.3018506333641574
4900,124.106875,122.23,124.93,107.703125,179.0,-0.27184831773488805
5000,128.093125,125.94,129.8,108.203125,179.0,-0.1719902145112683
