epoch,avg_reward_train,min_reward_train,max_reward_train,avg_reward_val_uni_samp,avg_reward_real,tloss_train
100,113.7075,80.53,140.61,137.015625,193.0,-9.659791130061192
200,123.60625,93.4,143.78,140.5625,209.0,-11.3558901491537
300,122.45375,96.73,139.68,143.578125,200.0,-9.383023256410524
400,129.095625,101.26,146.1,143.234375,209.0,-10.18723728948622
500,139.801875,109.1,156.26,141.28125,200.0,-14.524626041746087
600,124.791875,97.99,138.67,144.359375,200.0,-13.582345960414557
700,126.049375,96.17,141.87,144.0,216.0,-10.30459892918203
800,139.55625,113.57,154.65,144.65625,216.0,-10.107335458885125
900,131.125,109.29,144.42,144.703125,200.0,-8.61425209157446
1000,130.598125,105.28,144.67,143.90625,216.0,-9.738527730474088
1100,139.76875,107.07,157.02,147.921875,216.0,-13.845313589921016
1200,133.76625,108.06,146.45,144.984375,200.0,-11.089285143275104
1300,128.505,106.44,143.47,145.25,200.0,-6.471227669291071
1400,131.85125,108.02,144.85,145.671875,216.0,-9.21922972901439
1500,138.218125,109.88,151.89,146.078125,216.0,-11.370556330960538
1600,136.980625,111.25,151.25,145.734375,216.0,-10.490727450126679
1700,136.359375,115.77,149.41,146.125,216.0,-7.787577904817871
1800,120.506875,99.52,132.08,146.859375,200.0,-7.442172224885367
1900,137.43375,114.57,150.68,147.0625,200.0,-10.890920567776952
2000,133.520625,111.69,145.41,145.703125,200.0,-7.320629758185898
2100,143.468125,119.2,157.78,145.84375,200.0,-10.131790511949498
2200,140.1,115.16,154.63,146.6875,216.0,-9.982792337185352
2300,133.329375,106.06,146.8,145.5625,200.0,-12.375906072443392
2400,148.230625,124.21,160.34,144.234375,207.0,-10.539836766665854
2500,132.1375,108.06,145.32,143.21875,207.0,-7.665455914487459
2600,155.028125,129.81,170.47,148.359375,216.0,-10.235200158864451
2700,143.576875,119.46,156.93,147.15625,216.0,-9.046608971318772
2800,137.836875,113.63,151.0,144.640625,200.0,-10.028121754094297
2900,143.64375,120.91,155.77,145.453125,200.0,-9.5183662460996
3000,130.59125,113.08,142.58,147.59375,216.0,-6.348120970778898
3100,131.084375,107.05,142.33,145.828125,200.0,-8.378253553784681
3200,150.9225,122.91,164.62,145.3125,200.0,-10.602300218345096
3300,137.860625,118.64,151.03,147.265625,216.0,-7.326772719038854
3400,134.223125,110.69,145.82,148.578125,216.0,-8.78180520344533
3500,140.3025,117.33,153.01,145.515625,200.0,-8.938385643244837
3600,137.52625,119.82,149.61,143.65625,207.0,-4.118998452852933
3700,141.305625,118.27,156.19,146.046875,216.0,-7.582048666577662
3800,130.258125,109.52,141.1,144.609375,207.0,-7.91128158720431
3900,135.259375,109.86,149.17,144.40625,207.0,-9.65112934325885
4000,155.551875,129.59,167.44,145.75,200.0,-9.386697005842832
4100,149.270625,125.47,160.23,146.296875,200.0,-8.464130510662788
4200,129.629375,110.91,140.71,147.09375,207.0,-6.5322311147470575
4300,141.876875,120.44,155.06,147.515625,216.0,-7.830921668064186
4400,143.260625,120.4,155.46,148.40625,216.0,-8.06340028004771
4500,142.024375,118.85,154.5,144.59375,200.0,-8.432586971126996
4600,131.6475,109.68,142.86,147.578125,207.0,-8.988137010709064
4700,146.728125,124.07,159.39,147.25,200.0,-8.898011689478663
4800,131.718125,106.88,143.72,148.03125,216.0,-9.621425281525308
4900,141.89125,121.63,154.13,145.828125,216.0,-6.5750992365202725
5000,145.615,121.91,158.81,147.125,202.0,-10.141056169447882
