epoch,avg_reward_train,min_reward_train,max_reward_train,avg_reward_val_uni_samp,avg_reward_real,tloss_train
100,121.430625,89.34,144.45,137.890625,200.0,-10.621579580526147
200,135.57375,105.44,155.8,141.046875,209.0,-10.163820774221934
300,137.545625,102.51,160.53,142.96875,200.0,-14.691564619154228
400,121.543125,93.79,136.78,145.046875,200.0,-12.873803012872836
500,135.515625,105.53,152.64,143.046875,190.0,-12.827806365367687
600,135.515,111.17,152.13,145.171875,216.0,-9.556219023645568
700,125.659375,101.14,139.72,147.203125,216.0,-8.669498630286506
800,136.583125,110.12,152.85,143.453125,200.0,-11.065479483223244
900,137.619375,112.86,154.65,140.6875,200.0,-9.559492355328612
1000,139.199375,112.25,155.34,143.859375,200.0,-11.147650570108551
1100,136.876875,112.89,149.56,143.09375,207.0,-9.99843399810785
1200,129.54125,106.09,141.44,146.546875,200.0,-8.53417541248419
1300,147.099375,118.83,162.98,144.421875,200.0,-11.69916573132021
1400,137.671875,109.1,151.53,146.125,200.0,-10.505840403526156
1500,136.170625,109.36,148.82,146.421875,200.0,-10.66813069574564
1600,138.03625,114.75,151.99,142.921875,184.0,-8.96012335280775
1700,129.6125,107.28,142.32,146.6875,184.0,-8.13579615533558
1800,138.030625,114.31,152.82,145.984375,207.0,-8.902190653095579
1900,134.2475,111.63,148.25,146.40625,168.0,-8.430969483224155
2000,133.9275,116.51,145.23,143.65625,200.0,-5.5625101811571325
2100,142.289375,118.82,155.2,145.3125,200.0,-10.20297940229823
2200,135.545625,113.02,148.47,147.421875,216.0,-10.280356620242841
2300,151.749375,127.08,163.96,147.171875,200.0,-10.977165538536031
2400,130.783125,110.15,144.83,147.25,216.0,-7.940483754507727
2500,128.589375,110.49,140.24,148.6875,207.0,-6.973062560324519
2600,133.22625,111.51,146.04,147.390625,200.0,-8.167054251678767
2700,148.19,122.71,161.13,144.953125,207.0,-10.090909746964535
2800,150.506875,126.33,165.57,147.359375,216.0,-8.274254660591597
2900,146.588125,119.58,160.17,146.234375,216.0,-11.910964252477356
3000,139.0725,116.9,150.65,141.53125,207.0,-8.364257878435659
3100,139.110625,116.25,151.95,145.765625,207.0,-8.596686732356412
3200,140.710625,118.15,153.05,146.328125,207.0,-8.41242560356987
3300,133.27875,114.04,144.76,146.8125,207.0,-7.498589119070718
3400,141.38875,119.73,153.45,145.375,184.0,-7.368252056669228
3500,132.085,114.12,142.08,147.078125,200.0,-6.260704598353466
3600,142.508125,117.06,156.29,146.0625,216.0,-8.82959458100409
3700,132.01375,112.29,142.25,146.015625,200.0,-7.448340883716749
3800,141.945,119.95,154.24,147.15625,200.0,-6.389373875127898
3900,140.613125,123.13,150.34,146.953125,200.0,-6.783123943795838
4000,143.23625,121.67,153.86,147.359375,207.0,-7.3020665055738485
4100,141.3775,120.23,153.18,147.8125,216.0,-8.176795308523024
4200,146.545625,124.55,157.52,145.84375,207.0,-7.452947993879945
4300,140.655,114.33,154.42,147.546875,200.0,-10.015789355675592
4400,135.8125,113.68,147.22,148.96875,200.0,-8.488299289808998
4500,139.833125,121.03,150.05,147.84375,216.0,-5.54954132105222
4600,135.48125,115.88,148.01,147.96875,216.0,-5.986375885874832
4700,143.433125,118.61,155.73,148.359375,207.0,-8.716459964687145
4800,142.809375,117.33,156.24,144.6875,207.0,-9.521666263305452
4900,139.23375,121.22,150.27,147.3125,200.0,-7.413786534682999
5000,133.894375,113.9,142.24,147.34375,200.0,-9.443345391864172
