epoch,avg_reward_train,min_reward_train,max_reward_train,avg_reward_val_uni_samp,avg_reward_real,tloss_train
100,110.765625,79.17,135.31,140.40625,186.0,-6.7283432149897155
200,132.249375,112.06,145.47,144.96875,216.0,-6.529177945519573
300,142.56,128.98,154.22,145.25,200.0,-3.0286607859515096
400,135.6425,121.9,144.42,147.0625,216.0,-2.482205148169159
500,146.12625,132.09,157.2,144.671875,168.0,-2.8764048789055696
600,137.5675,125.35,146.44,142.46875,200.0,-2.8289275363644673
700,155.991875,146.02,162.01,146.125,207.0,-2.20653797838805
800,148.13,137.3,156.2,146.390625,216.0,-2.1085670304398887
900,147.598125,134.35,156.88,144.4375,183.0,-1.7911217978027676
1000,135.20125,126.5,143.2,145.265625,200.0,-0.6052840263233847
1100,142.439375,132.62,149.87,145.59375,187.0,-1.540048994993615
1200,152.70375,144.98,159.18,141.15625,207.0,-1.0588440631584157
1300,145.39875,136.19,153.83,148.375,216.0,-0.24602350257537262
1400,136.339375,128.71,142.03,142.296875,173.0,-1.168115181750428
1500,135.76,126.54,142.96,146.9375,207.0,-1.2970408678940026
1600,138.671875,132.25,143.01,148.125,216.0,-1.231871515830067
1700,143.571875,136.71,150.68,147.59375,216.0,-0.02282338018279983
1800,155.2575,146.47,162.5,147.796875,216.0,-1.2352828120837374
1900,139.655,133.31,144.67,148.53125,216.0,-0.7847974353994048
2000,139.2275,133.31,144.58,147.421875,216.0,-0.03674629602771087
2100,144.621875,137.7,151.37,148.171875,200.0,-0.3794017676324616
2200,146.679375,138.61,151.15,147.109375,216.0,-1.6309254131014779
2300,154.34375,148.29,158.18,148.4375,200.0,-0.9182486310195028
2400,137.840625,131.28,143.77,146.28125,195.0,-0.8424399568463291
2500,142.0975,136.34,146.45,145.734375,200.0,-0.9375206578186019
2600,135.385625,129.69,141.09,143.078125,179.0,0.0928716270812929
2700,129.498125,124.08,134.37,142.046875,183.0,-0.2004007412273548
2800,137.353125,133.3,140.49,142.640625,216.0,-0.46235506963237355
2900,146.726875,140.96,151.08,144.640625,216.0,-1.0574230387276766
3000,145.945625,139.0,151.59,146.671875,200.0,-0.4951292276015377
3100,139.46875,133.5,143.85,144.734375,193.0,-0.8163243780774708
3200,146.619375,140.99,149.46,147.734375,200.0,-1.2208761842280706
3300,137.09375,133.04,141.12,146.203125,200.0,-0.2635825689967557
3400,140.839375,135.59,145.5,147.015625,216.0,-0.24039896215478737
3500,153.24125,147.64,158.52,145.0,207.0,-0.008506978732856113
3600,144.890625,139.53,148.26,146.3125,200.0,-0.722126717109827
3700,135.718125,132.01,140.23,147.625,216.0,0.7218566280054654
3800,134.72375,129.45,138.62,143.125,207.0,-0.9273020051024935
3900,142.49,135.74,147.72,145.4375,216.0,-0.09539047568498055
4000,135.99625,131.98,140.18,145.90625,205.0,-0.2323046852782609
4100,141.441875,136.5,145.16,145.15625,216.0,-0.2857531930906873
4200,158.50125,153.8,162.51,144.234375,183.0,-0.31858792096546845
4300,140.69875,136.09,144.58,146.25,200.0,-0.3799830792093506
4400,149.33125,142.26,154.15,140.140625,207.0,-0.49883704621387276
4500,142.5925,137.4,146.0,148.203125,200.0,-0.5606488791482259
4600,154.76875,149.61,160.01,145.53125,202.0,-0.04047123140692939
4700,143.153125,139.31,145.74,146.484375,202.0,-0.3548658968545416
4800,136.84625,133.08,139.47,145.703125,200.0,-0.4833132064770701
4900,144.4325,140.67,147.02,146.96875,200.0,-0.38600424149278334
5000,159.945625,154.09,164.35,148.09375,216.0,-0.5240390210725215
