epoch,avg_reward_train,min_reward_train,max_reward_train,avg_reward_val_uni_samp,avg_reward_real,tloss_train
100,110.22625,79.87,133.93,139.53125,193.0,-5.5304524859288
200,136.25125,115.53,149.02,141.765625,200.0,-8.083663138091113
300,134.819375,115.76,147.22,143.515625,216.0,-5.827873739365203
400,139.7675,125.71,150.76,145.859375,216.0,-2.769110047068632
500,153.4275,137.19,164.69,143.53125,200.0,-5.07303274452509
600,139.3125,129.46,146.65,144.21875,200.0,-1.7800770575638085
700,139.36125,126.92,148.22,143.984375,216.0,-2.7351899523637577
800,131.06125,118.7,139.0,142.15625,200.0,-3.4286932972919715
900,139.209375,130.26,145.27,145.4375,200.0,-1.7030886178503755
1000,134.75625,124.71,143.15,144.890625,200.0,-1.6508126495863136
1100,141.641875,129.63,149.83,146.4375,216.0,-2.8759475264348224
1200,144.770625,136.64,150.87,140.890625,207.0,-1.4097250455320125
1300,134.801875,127.03,140.18,145.140625,216.0,-0.9630307791446762
1400,154.045,146.33,160.6,145.46875,183.0,-0.7806245783131281
1500,142.141875,133.49,147.82,144.046875,183.0,-1.8661697610565164
1600,144.2825,137.46,149.02,144.5625,200.0,-1.188947351864546
1700,137.976875,132.01,144.09,140.46875,207.0,-0.5013850628742776
1800,134.953125,126.87,141.27,144.921875,200.0,-1.417480896212446
1900,127.159375,120.68,131.19,144.828125,216.0,-0.7358086770060744
2000,162.123125,152.85,168.86,146.328125,216.0,-1.1679459925791094
2100,138.109375,129.85,144.72,145.578125,200.0,-1.4267784848540845
2200,135.69875,129.9,140.26,142.75,207.0,-0.8041443471326835
2300,138.5425,130.83,143.67,141.0,171.0,-0.6769037628639774
2400,154.4225,147.8,159.62,146.578125,200.0,-1.2148873256844595
2500,137.89375,132.89,143.63,145.8125,200.0,-0.38352722850636306
2600,141.544375,136.19,146.42,145.046875,200.0,-0.40998322321058617
2700,150.1525,142.18,155.98,143.828125,207.0,-1.4609084865243234
2800,136.998125,131.83,141.14,143.953125,216.0,-0.5616788083249793
2900,139.60875,134.02,143.28,145.6875,183.0,-0.7199915817099253
3000,151.66,144.19,159.3,145.453125,216.0,-0.29122970557792277
3100,135.150625,128.19,141.08,147.0,216.0,-0.562860768195373
3200,138.97125,130.74,147.16,146.40625,216.0,-0.7313288701985349
3300,148.945625,140.47,155.56,144.9375,184.0,-0.6906298438438269
3400,149.649375,140.35,157.03,143.765625,200.0,-1.0109247349825516
3500,135.983125,127.9,144.24,144.640625,216.0,-0.6289825732283827
3600,141.49375,136.41,147.23,146.109375,200.0,-0.46880578804332224
3700,135.056875,129.87,138.16,147.78125,216.0,-1.0959577506508957
3800,141.969375,136.76,147.01,146.28125,200.0,-0.6314498142585133
3900,127.36625,122.43,130.88,144.4375,200.0,-0.38475473677465666
4000,143.736875,138.64,148.85,144.71875,207.0,-0.47332605947297124
4100,138.9225,134.06,143.91,148.140625,200.0,-0.4488752594793356
4200,148.814375,143.76,152.54,148.28125,200.0,-0.6542223996219907
4300,145.76125,139.65,152.33,146.96875,207.0,-0.22019173255033145
4400,137.145625,130.93,142.8,149.453125,216.0,-0.27028619283370137
4500,152.045625,145.34,158.17,146.109375,202.0,-0.07708242706026049
4600,147.790625,143.18,151.67,146.5625,216.0,-0.38965466315290237
4700,144.916875,141.18,147.72,145.25,216.0,-0.278646513302883
4800,143.093125,137.78,147.71,146.328125,216.0,-0.054925069612258064
4900,150.226875,143.31,156.19,143.765625,205.0,-0.632423093976419
5000,147.866875,139.9,156.01,144.859375,205.0,-0.843069701746144
