epoch,avg_reward_train,min_reward_train,max_reward_train,avg_reward_val_uni_samp,avg_reward_real,tloss_train
100,446.82,354.86,526.32,642.875,317.0,47.12759246349335
200,589.2925,507.24,660.91,691.203125,286.0,-26.453000054359435
300,635.688125,545.33,705.56,706.375,333.0,-43.85161598029546
400,649.40375,552.21,718.55,733.890625,295.0,-38.72502554416656
500,677.09625,585.78,745.48,724.28125,277.0,-41.07620066642761
600,702.5975,577.16,774.02,730.71875,304.0,10.306148862838745
700,714.179375,609.12,784.8,732.09375,247.0,-14.85063945531845
800,676.3025,576.24,747.42,736.859375,258.0,-24.549356322288514
900,712.096875,600.52,783.41,742.765625,285.0,16.15345315217972
1000,719.303125,627.42,783.83,727.734375,233.0,-24.26932849287987
1100,714.57,617.98,776.8,746.328125,327.0,-32.85651556015014
1200,706.02875,622.44,765.53,753.234375,226.0,-46.39438280820846
1300,640.24,566.84,696.79,689.9375,227.0,-25.449148874282837
1400,688.5675,602.3,750.41,746.5,324.0,-8.666528499126434
1500,659.19875,588.23,719.7,728.625,268.0,-40.16804339408875
1600,724.0225,632.66,786.92,752.984375,308.0,-40.794266698360445
1700,699.46625,613.76,761.86,741.765625,301.0,-4.648005976676941
1800,685.054375,577.96,755.91,739.875,271.0,40.99594489634037
1900,701.64625,617.62,762.78,752.21875,280.0,-40.39572239637375
2000,717.62125,630.22,782.24,737.734375,285.0,-40.17902804732323
2100,706.1825,626.34,765.37,753.125,291.0,-39.572681676149365
2200,718.841875,631.16,779.47,752.359375,293.0,-54.29176220655441
2300,704.981875,619.23,768.61,757.734375,257.0,-22.163092370033265
2400,722.938125,634.01,784.66,709.140625,326.0,-25.585525500774384
2500,706.4925,622.39,767.8,759.03125,294.0,-41.192758145332334
2600,676.16625,609.53,732.53,749.0625,344.0,-31.42982371687889
2700,730.35875,654.35,785.5,751.390625,342.0,-31.697443900108336
2800,759.776875,674.23,820.3,740.0625,254.0,-26.929524807929994
2900,737.415625,639.75,800.39,758.390625,315.0,-20.56485914826393
3000,728.855625,632.48,794.3,764.078125,309.0,-29.50726330280304
3100,709.04125,621.66,770.22,756.265625,336.0,-25.221581597328186
3200,723.910625,637.64,787.46,747.578125,274.0,-39.63909953355789
3300,696.939375,601.94,756.5,766.25,332.0,-18.54321014404297
3400,713.738125,644.27,767.59,764.796875,288.0,-32.65679573118687
3500,731.15375,667.14,785.91,760.078125,306.0,-33.961073635816575
3600,730.791875,647.81,786.61,765.359375,288.0,-36.30752947330475
3700,712.59,625.2,772.0,768.125,321.0,-14.717511312961578
3800,712.784375,635.05,771.43,763.875,308.0,-23.917257636785507
3900,738.83625,653.04,799.9,761.75,289.0,-5.4104559862613675
4000,768.26375,691.12,822.43,757.109375,287.0,-40.882992234230045
4100,717.4275,648.07,774.02,760.859375,296.0,-32.184916157722476
4200,717.198125,635.87,775.83,765.734375,308.0,-26.81185008466244
4300,723.893125,658.45,773.1,751.015625,240.0,-38.35086325645447
4400,700.30125,618.67,752.47,755.65625,291.0,-25.124765150547027
4500,734.93625,645.16,796.0,775.140625,293.0,21.553734220266342
4600,735.265625,645.08,792.46,768.71875,310.0,-32.32974464952946
4700,730.6375,668.92,780.53,753.578125,319.0,-25.83271090745926
4800,702.524375,625.03,762.04,764.0,314.0,-28.67524288415909
4900,719.809375,644.97,774.16,761.296875,287.0,-35.603752561211586
5000,754.96125,678.59,813.94,763.9375,214.0,-35.57433577060699
