epoch,avg_reward_train,min_reward_train,max_reward_train,avg_reward_val_uni_samp,avg_reward_real,tloss_train
100,414.5075,325.37,496.23,607.25,285.0,47.77024999856949
200,591.776875,510.57,658.49,699.046875,366.0,-6.8635652637481686
300,676.814375,597.79,745.53,722.234375,332.0,-35.888024106025696
400,698.10375,624.46,757.3,721.3125,214.0,-23.98503349363804
500,704.996875,630.91,759.1,715.8125,286.0,-20.943887308835983
600,681.923125,615.58,735.89,747.90625,162.0,-20.123665187358856
700,752.36625,669.23,814.77,684.390625,0.0,42.088155906200406
800,688.7575,605.69,752.97,746.3125,214.0,12.513316082954407
900,715.595625,652.6,768.53,743.984375,301.0,-21.595133972167968
1000,743.47,671.53,798.18,731.0625,282.0,-17.019664807319643
1100,725.2675,660.2,772.42,746.328125,320.0,-21.26964958846569
1200,734.763125,664.25,787.59,703.5,321.0,-2.482629634141922
1300,747.1425,665.47,799.35,740.375,311.0,1.4578731083869934
1400,690.753125,634.41,741.86,743.375,319.0,3.397571153342724
1500,735.6875,678.85,783.95,735.828125,191.0,-13.900432310104371
1600,746.766875,674.58,800.21,747.1875,339.0,7.463627134561539
1700,746.884375,682.19,799.22,744.890625,163.0,-0.4318275088071823
1800,741.773125,691.66,788.64,745.03125,321.0,-7.557726526260376
1900,703.026875,636.82,751.39,728.15625,321.0,4.09203498840332
2000,738.6675,686.81,780.74,763.921875,291.0,-12.607378178834916
2100,695.74125,643.01,743.21,734.75,212.0,-5.750860288143158
2200,706.969375,639.32,755.57,752.546875,208.0,1.5197552102804184
2300,749.0375,686.54,791.56,751.90625,382.0,-1.479161834716797
2400,762.876875,707.33,807.8,748.09375,358.0,1.6138480507372879
2500,759.809375,704.16,804.08,743.875,302.0,-2.5910668659210203
2600,740.099375,662.47,788.27,757.765625,312.0,3.6860160660743713
2700,713.20375,653.66,756.97,747.140625,163.0,-8.566609415709973
2800,739.58625,684.64,783.96,758.453125,311.0,17.87199777126312
2900,730.724375,664.28,779.51,745.75,316.0,11.384319205977954
3000,778.46875,730.08,821.22,742.265625,365.0,-10.338271944522857
3100,726.320625,678.54,770.44,741.53125,285.0,-6.027314764261246
3200,716.5175,649.26,764.61,740.21875,304.0,3.405247402214445
3300,722.8825,649.85,776.55,761.859375,277.0,5.8212572846515105
3400,752.0175,675.49,798.85,747.671875,138.0,7.8406730773532765
3500,727.52625,665.62,775.63,743.8125,162.0,2.299141775975004
3600,735.345625,687.93,777.66,743.125,328.0,-2.5844887549057605
3700,732.31375,651.29,783.94,760.34375,172.0,19.906718550610822
3800,735.508125,691.56,775.12,760.453125,162.0,-6.381153163313866
3900,716.270625,654.65,759.53,765.46875,275.0,-8.006764083638846
4000,728.634375,683.07,766.14,740.171875,304.0,-2.34632546633482
4100,767.590625,712.73,803.97,719.015625,299.0,-7.098191252648831
4200,741.678125,682.58,781.98,751.484375,330.0,1.4800371732513304
4300,711.599375,662.65,750.39,749.203125,237.0,-1.9814108295366168
4400,724.075625,675.68,757.58,742.4375,162.0,-7.155302209854126
4500,784.5225,720.22,827.62,756.40625,322.0,-5.8557348555326465
4600,758.349375,721.29,788.24,755.53125,253.0,-5.010362457514275
4700,695.456875,648.37,734.99,761.546875,314.0,-4.131834128543269
4800,730.20125,657.14,771.55,760.21875,330.0,10.326667225803249
4900,742.121875,702.14,779.99,737.640625,276.0,-2.2406176510476508
5000,755.02,703.71,791.81,748.796875,326.0,-5.900149204693735
